[2026-03-24T15:09:26.464Z] GET http://localhost:3000/src/main.tsx?t=1774364718877 → 304 (?ms, ?B)
[2026-03-24T15:09:26.464Z] GET http://localhost:3000/@react-refresh → 304 (2ms, ?B)
[2026-03-24T15:09:26.464Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (2ms, ?B)
[2026-03-24T15:09:26.465Z] GET http://localhost:3000/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=444905f7 → 200 (?ms, 12434B)
[2026-03-24T15:09:26.465Z] GET http://localhost:3000/node_modules/.vite/deps/react.js?v=444905f7 → 200 (?ms, 724B)
[2026-03-24T15:09:26.465Z] GET http://localhost:3000/node_modules/.vite/deps/react-dom_client.js?v=444905f7 → 200 (?ms, 1005535B)
[2026-03-24T15:09:26.465Z] GET http://localhost:3000/node_modules/.vite/deps/react-router-dom.js?v=444905f7 → 200 (?ms, 463934B)
[2026-03-24T15:09:26.465Z] GET http://localhost:3000/src/index.css?t=1774364718877 → 304 (1ms, ?B)
[2026-03-24T15:09:26.465Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-AEW4WGTC.js?v=444905f7 → 200 (?ms, 46922B)
[2026-03-24T15:09:26.465Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-6NB43VFI.js?v=444905f7 → 200 (?ms, 16461B)
[2026-03-24T15:09:37.861Z] GET http://localhost:3000/ → 200 (3ms, 638B)
[2026-03-24T15:09:37.866Z] GET http://localhost:3000/@vite/client → 200 (2ms, 182535B)
[2026-03-24T15:09:37.866Z] GET http://localhost:3000/src/main.tsx?t=1774364718877 → 200 (1ms, 20828B)
[2026-03-24T15:09:37.867Z] GET http://localhost:3000/@react-refresh → 200 (2ms, 113132B)
[2026-03-24T15:09:37.867Z] GET http://localhost:3000/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=444905f7 → 200 (?ms, 12434B)
[2026-03-24T15:09:37.867Z] GET http://localhost:3000/node_modules/.vite/deps/react.js?v=444905f7 → 200 (?ms, 724B)
[2026-03-24T15:09:37.867Z] GET http://localhost:3000/node_modules/.vite/deps/react-dom_client.js?v=444905f7 → 200 (?ms, 1005535B)
[2026-03-24T15:09:37.868Z] GET http://localhost:3000/node_modules/.vite/deps/react-router-dom.js?v=444905f7 → 200 (?ms, 463934B)
[2026-03-24T15:09:37.868Z] GET http://localhost:3000/src/index.css?t=1774364718877 → 200 (1ms, 26868B)
[2026-03-24T15:09:37.868Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-AEW4WGTC.js?v=444905f7 → 200 (?ms, 46922B)
[2026-03-24T15:09:37.868Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-6NB43VFI.js?v=444905f7 → 200 (?ms, 16461B)
[2026-03-24T15:09:37.868Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 200 (1ms, 3861B)
[2026-03-24T15:09:51.308Z] GET http://localhost:3000/settings → 200 (5ms, 638B)
[2026-03-24T15:09:51.315Z] GET http://localhost:3000/@vite/client → 304 (?ms, ?B)
[2026-03-24T15:09:51.315Z] GET http://localhost:3000/src/main.tsx?t=1774364718877 → 304 (?ms, ?B)
[2026-03-24T15:09:51.315Z] GET http://localhost:3000/@react-refresh → 304 (1ms, ?B)
[2026-03-24T15:09:51.315Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 304 (2ms, ?B)
[2026-03-24T15:09:51.315Z] GET http://localhost:3000/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=444905f7 → 200 (?ms, 12434B)
[2026-03-24T15:09:51.316Z] GET http://localhost:3000/node_modules/.vite/deps/react.js?v=444905f7 → 200 (?ms, 724B)
[2026-03-24T15:09:51.316Z] GET http://localhost:3000/node_modules/.vite/deps/react-dom_client.js?v=444905f7 → 200 (?ms, 1005535B)
[2026-03-24T15:09:51.316Z] GET http://localhost:3000/node_modules/.vite/deps/react-router-dom.js?v=444905f7 → 200 (?ms, 463934B)
[2026-03-24T15:09:51.316Z] GET http://localhost:3000/src/index.css?t=1774364718877 → 304 (1ms, ?B)
[2026-03-24T15:09:51.316Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-AEW4WGTC.js?v=444905f7 → 200 (?ms, 46922B)
[2026-03-24T15:09:51.316Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-6NB43VFI.js?v=444905f7 → 200 (?ms, 16461B)
